MemberID,FullName,MembershipType,VisitCount,ClassesAttended,PTSessionCount,EngagementSegment
20,"Oscar Wright",Basic,0,0,0,"At Risk"
11,"Chloe King",Basic,0,0,0,"At Risk"
15,"Zoe Hall",Student,0,0,0,"At Risk"
25,"Hannah Lewis",Basic,0,0,0,"At Risk"
2,"Maya Thompson",Basic,8,12,1,"Highly Engaged"
3,"Liam Wilson",Student,8,12,1,"Highly Engaged"
21,"Ruby Clark",Premium,1,2,0,"Low Engagement"
6,"Emma Johnson",Student,1,1,0,"Low Engagement"
5,"Noah Davis",Basic,1,0,0,"Low Engagement"
12,"Ben Scott",Student,0,2,0,"Low Engagement"
26,"Adam Cooper",Student,0,1,0,"Low Engagement"
8,"Ava Martin",Basic,0,1,0,"Low Engagement"
9,"Lucas White",Student,0,1,0,"Low Engagement"
23,"Sophie Allen",Student,0,1,0,"Low Engagement"
29,"Sarah Bell",Student,0,1,0,"Low Engagement"
14,"Henry Walker",Basic,0,1,0,"Low Engagement"
17,"Lily Adams",Basic,0,1,0,"Low Engagement"
18,"Daniel Hill",Student,0,1,0,"Low Engagement"
76,"Pulse Member 076",Basic,4,2,0,"Moderately Active"
587,"Pulse Member 587",Basic,4,2,0,"Moderately Active"
588,"Pulse Member 588",Basic,4,2,0,"Moderately Active"
589,"Pulse Member 589",Basic,4,2,0,"Moderately Active"
590,"Pulse Member 590",Premium,4,2,1,"Moderately Active"
591,"Pulse Member 591",Premium,4,2,0,"Moderately Active"
592,"Pulse Member 592",Premium,4,2,0,"Moderately Active"
593,"Pulse Member 593",Student,4,2,0,"Moderately Active"
594,"Pulse Member 594",Student,4,2,0,"Moderately Active"
595,"Pulse Member 595",Student,4,2,1,"Moderately Active"
31,"Pulse Member 031",Premium,4,2,0,"Moderately Active"
32,"Pulse Member 032",Premium,4,2,0,"Moderately Active"
33,"Pulse Member 033",Student,4,2,0,"Moderately Active"
34,"Pulse Member 034",Student,4,2,0,"Moderately Active"
35,"Pulse Member 035",Student,4,2,1,"Moderately Active"
36,"Pulse Member 036",Basic,4,2,0,"Moderately Active"
37,"Pulse Member 037",Basic,4,2,0,"Moderately Active"
38,"Pulse Member 038",Basic,4,2,0,"Moderately Active"
39,"Pulse Member 039",Basic,4,2,0,"Moderately Active"
40,"Pulse Member 040",Premium,4,2,1,"Moderately Active"
41,"Pulse Member 041",Premium,4,2,0,"Moderately Active"
42,"Pulse Member 042",Premium,4,2,0,"Moderately Active"
43,"Pulse Member 043",Student,4,2,0,"Moderately Active"
44,"Pulse Member 044",Student,4,2,0,"Moderately Active"
45,"Pulse Member 045",Student,4,2,1,"Moderately Active"
46,"Pulse Member 046",Basic,4,2,0,"Moderately Active"
47,"Pulse Member 047",Basic,4,2,0,"Moderately Active"
48,"Pulse Member 048",Basic,4,2,0,"Moderately Active"
49,"Pulse Member 049",Basic,4,2,0,"Moderately Active"
50,"Pulse Member 050",Premium,4,2,1,"Moderately Active"
51,"Pulse Member 051",Premium,4,2,0,"Moderately Active"
52,"Pulse Member 052",Premium,4,2,0,"Moderately Active"
53,"Pulse Member 053",Student,4,2,0,"Moderately Active"
54,"Pulse Member 054",Student,4,2,0,"Moderately Active"
55,"Pulse Member 055",Student,4,2,1,"Moderately Active"
56,"Pulse Member 056",Basic,4,2,0,"Moderately Active"
57,"Pulse Member 057",Basic,4,2,0,"Moderately Active"
58,"Pulse Member 058",Basic,4,2,0,"Moderately Active"
59,"Pulse Member 059",Basic,4,2,0,"Moderately Active"
60,"Pulse Member 060",Premium,4,2,1,"Moderately Active"
61,"Pulse Member 061",Premium,4,2,0,"Moderately Active"
62,"Pulse Member 062",Premium,4,2,0,"Moderately Active"
63,"Pulse Member 063",Student,4,2,0,"Moderately Active"
64,"Pulse Member 064",Student,4,2,0,"Moderately Active"
65,"Pulse Member 065",Student,4,2,1,"Moderately Active"
66,"Pulse Member 066",Basic,4,2,0,"Moderately Active"
67,"Pulse Member 067",Basic,4,2,0,"Moderately Active"
68,"Pulse Member 068",Basic,4,2,0,"Moderately Active"
69,"Pulse Member 069",Basic,4,2,0,"Moderately Active"
70,"Pulse Member 070",Premium,4,2,1,"Moderately Active"
71,"Pulse Member 071",Premium,4,2,0,"Moderately Active"
72,"Pulse Member 072",Premium,4,2,0,"Moderately Active"
73,"Pulse Member 073",Student,4,2,0,"Moderately Active"
74,"Pulse Member 074",Student,4,2,0,"Moderately Active"
75,"Pulse Member 075",Student,4,2,1,"Moderately Active"
151,"Pulse Member 151",Premium,4,2,0,"Moderately Active"
77,"Pulse Member 077",Basic,4,2,0,"Moderately Active"
78,"Pulse Member 078",Basic,4,2,0,"Moderately Active"
79,"Pulse Member 079",Basic,4,2,0,"Moderately Active"
80,"Pulse Member 080",Premium,4,2,1,"Moderately Active"
81,"Pulse Member 081",Premium,4,2,0,"Moderately Active"
82,"Pulse Member 082",Premium,4,2,0,"Moderately Active"
597,"Pulse Member 597",Basic,4,2,0,"Moderately Active"
84,"Pulse Member 084",Student,4,2,0,"Moderately Active"
85,"Pulse Member 085",Student,4,2,1,"Moderately Active"
86,"Pulse Member 086",Basic,4,2,0,"Moderately Active"
87,"Pulse Member 087",Basic,4,2,0,"Moderately Active"
88,"Pulse Member 088",Basic,4,2,0,"Moderately Active"
89,"Pulse Member 089",Basic,4,2,0,"Moderately Active"
90,"Pulse Member 090",Premium,4,2,1,"Moderately Active"
91,"Pulse Member 091",Premium,4,2,0,"Moderately Active"
92,"Pulse Member 092",Premium,4,2,0,"Moderately Active"
93,"Pulse Member 093",Student,4,2,0,"Moderately Active"
94,"Pulse Member 094",Student,4,2,0,"Moderately Active"
95,"Pulse Member 095",Student,4,2,1,"Moderately Active"
96,"Pulse Member 096",Basic,4,2,0,"Moderately Active"
98,"Pulse Member 098",Basic,4,2,0,"Moderately Active"
99,"Pulse Member 099",Basic,4,2,0,"Moderately Active"
100,"Pulse Member 100",Premium,4,2,1,"Moderately Active"
101,"Pulse Member 101",Premium,4,2,0,"Moderately Active"
102,"Pulse Member 102",Premium,4,2,0,"Moderately Active"
103,"Pulse Member 103",Student,4,2,0,"Moderately Active"
104,"Pulse Member 104",Student,4,2,0,"Moderately Active"
105,"Pulse Member 105",Student,4,2,1,"Moderately Active"
106,"Pulse Member 106",Basic,4,2,0,"Moderately Active"
107,"Pulse Member 107",Basic,4,2,0,"Moderately Active"
108,"Pulse Member 108",Basic,4,2,0,"Moderately Active"
109,"Pulse Member 109",Basic,4,2,0,"Moderately Active"
110,"Pulse Member 110",Premium,4,2,1,"Moderately Active"
111,"Pulse Member 111",Premium,4,2,0,"Moderately Active"
112,"Pulse Member 112",Premium,4,2,0,"Moderately Active"
113,"Pulse Member 113",Student,4,2,0,"Moderately Active"
114,"Pulse Member 114",Student,4,2,0,"Moderately Active"
115,"Pulse Member 115",Student,4,2,1,"Moderately Active"
116,"Pulse Member 116",Basic,4,2,0,"Moderately Active"
117,"Pulse Member 117",Basic,4,2,0,"Moderately Active"
118,"Pulse Member 118",Basic,4,2,0,"Moderately Active"
119,"Pulse Member 119",Basic,4,2,0,"Moderately Active"
120,"Pulse Member 120",Premium,4,2,1,"Moderately Active"
121,"Pulse Member 121",Premium,4,2,0,"Moderately Active"
122,"Pulse Member 122",Premium,4,2,0,"Moderately Active"
123,"Pulse Member 123",Student,4,2,0,"Moderately Active"
124,"Pulse Member 124",Student,4,2,0,"Moderately Active"
125,"Pulse Member 125",Student,4,2,1,"Moderately Active"
126,"Pulse Member 126",Basic,4,2,0,"Moderately Active"
127,"Pulse Member 127",Basic,4,2,0,"Moderately Active"
128,"Pulse Member 128",Basic,4,2,0,"Moderately Active"
129,"Pulse Member 129",Basic,4,2,0,"Moderately Active"
130,"Pulse Member 130",Premium,4,2,1,"Moderately Active"
131,"Pulse Member 131",Premium,4,2,0,"Moderately Active"
132,"Pulse Member 132",Premium,4,2,0,"Moderately Active"
133,"Pulse Member 133",Student,4,2,0,"Moderately Active"
134,"Pulse Member 134",Student,4,2,0,"Moderately Active"
135,"Pulse Member 135",Student,4,2,1,"Moderately Active"
136,"Pulse Member 136",Basic,4,2,0,"Moderately Active"
137,"Pulse Member 137",Basic,4,2,0,"Moderately Active"
138,"Pulse Member 138",Basic,4,2,0,"Moderately Active"
139,"Pulse Member 139",Basic,4,2,0,"Moderately Active"
140,"Pulse Member 140",Premium,4,2,1,"Moderately Active"
141,"Pulse Member 141",Premium,4,2,0,"Moderately Active"
142,"Pulse Member 142",Premium,4,2,0,"Moderately Active"
143,"Pulse Member 143",Student,4,2,0,"Moderately Active"
144,"Pulse Member 144",Student,4,2,0,"Moderately Active"
145,"Pulse Member 145",Student,4,2,1,"Moderately Active"
