MemberID,FullName,MembershipType,LastVisitTime,LastClassAttendance,LastPTSession,RecentFailedPayments,ChurnRiskScore,RiskBand,RiskRank
5,"Noah Davis",Basic,"2025-01-18 09:00:00",NULL,NULL,0,7,"High Risk",1
8,"Ava Martin",Basic,NULL,"2025-01-08 07:00:00",NULL,0,7,"High Risk",2
11,"Chloe King",Basic,NULL,NULL,NULL,0,7,"High Risk",3
14,"Henry Walker",Basic,NULL,"2025-02-19 09:00:00",NULL,0,7,"High Risk",4
17,"Lily Adams",Basic,NULL,"2025-04-03 07:00:00",NULL,0,7,"High Risk",5
20,"Oscar Wright",Basic,NULL,NULL,NULL,0,7,"High Risk",6
25,"Hannah Lewis",Basic,NULL,NULL,NULL,0,7,"High Risk",7
12,"Ben Scott",Student,NULL,"2025-06-19 18:30:00",NULL,1,6,"High Risk",8
38,"Pulse Member 038",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,1,6,"High Risk",9
39,"Pulse Member 039",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,1,6,"High Risk",10
296,"Pulse Member 296",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,1,6,"High Risk",11
297,"Pulse Member 297",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,1,6,"High Risk",12
339,"Pulse Member 339",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,1,6,"High Risk",13
469,"Pulse Member 469",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,1,6,"High Risk",14
597,"Pulse Member 597",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,1,6,"High Risk",15
598,"Pulse Member 598",Basic,"2025-06-27 18:00:00","2025-05-22 09:00:00",NULL,1,6,"High Risk",16
6,"Emma Johnson",Student,"2025-02-12 09:00:00","2025-01-08 07:00:00",NULL,0,6,"High Risk",17
9,"Lucas White",Student,NULL,"2025-01-08 07:00:00",NULL,0,6,"High Risk",18
15,"Zoe Hall",Student,NULL,NULL,NULL,0,6,"High Risk",19
18,"Daniel Hill",Student,NULL,"2025-01-08 07:00:00",NULL,0,6,"High Risk",20
23,"Sophie Allen",Student,NULL,"2025-04-17 18:00:00",NULL,0,6,"High Risk",21
26,"Adam Cooper",Student,NULL,"2025-01-08 07:00:00",NULL,0,6,"High Risk",22
29,"Sarah Bell",Student,NULL,"2025-01-08 07:00:00",NULL,0,6,"High Risk",23
81,"Pulse Member 081",Premium,"2025-06-25 18:00:00","2025-05-08 17:30:00",NULL,1,5,"Medium Risk",24
82,"Pulse Member 082",Premium,"2025-06-26 18:00:00","2025-05-22 09:00:00",NULL,1,5,"Medium Risk",25
