MemberID,FullName,MembershipType,JoinDate,TenureMonths,LifetimePaidRevenue,RevenuePerTenureMonth,RevenueRankWithinMembership
91,"Pulse Member 091",Premium,2024-11-03,8,360.00,45.00,1
92,"Pulse Member 092",Premium,2024-11-10,8,360.00,45.00,1
232,"Pulse Member 232",Premium,2024-10-31,8,360.00,45.00,1
562,"Pulse Member 562",Premium,2024-10-31,8,360.00,45.00,1
90,"Pulse Member 090",Premium,2024-10-27,9,360.00,40.00,1
181,"Pulse Member 181",Premium,2024-10-04,9,360.00,40.00,1
182,"Pulse Member 182",Premium,2024-10-11,9,360.00,40.00,1
230,"Pulse Member 230",Premium,2024-10-17,9,360.00,40.00,1
231,"Pulse Member 231",Premium,2024-10-24,9,360.00,40.00,1
322,"Pulse Member 322",Premium,2024-10-01,9,360.00,40.00,1
370,"Pulse Member 370",Premium,2024-10-07,9,360.00,40.00,1
371,"Pulse Member 371",Premium,2024-10-14,9,360.00,40.00,1
372,"Pulse Member 372",Premium,2024-10-21,9,360.00,40.00,1
420,"Pulse Member 420",Premium,2024-10-27,9,360.00,40.00,1
560,"Pulse Member 560",Premium,2024-10-17,9,360.00,40.00,1
561,"Pulse Member 561",Premium,2024-10-24,9,360.00,40.00,1
130,"Pulse Member 130",Premium,2024-09-07,10,360.00,36.00,1
131,"Pulse Member 131",Premium,2024-09-14,10,360.00,36.00,1
132,"Pulse Member 132",Premium,2024-09-21,10,360.00,36.00,1
180,"Pulse Member 180",Premium,2024-09-27,10,360.00,36.00,1
271,"Pulse Member 271",Premium,2024-09-04,10,360.00,36.00,1
272,"Pulse Member 272",Premium,2024-09-11,10,360.00,36.00,1
320,"Pulse Member 320",Premium,2024-09-17,10,360.00,36.00,1
321,"Pulse Member 321",Premium,2024-09-24,10,360.00,36.00,1
412,"Pulse Member 412",Premium,2024-09-01,10,360.00,36.00,1
460,"Pulse Member 460",Premium,2024-09-07,10,360.00,36.00,1
461,"Pulse Member 461",Premium,2024-09-14,10,360.00,36.00,1
462,"Pulse Member 462",Premium,2024-09-21,10,360.00,36.00,1
510,"Pulse Member 510",Premium,2024-09-27,10,360.00,36.00,1
31,"Pulse Member 031",Premium,2024-08-05,11,360.00,32.73,1
32,"Pulse Member 032",Premium,2024-08-12,11,360.00,32.73,1
80,"Pulse Member 080",Premium,2024-08-18,11,360.00,32.73,1
220,"Pulse Member 220",Premium,2024-08-08,11,360.00,32.73,1
221,"Pulse Member 221",Premium,2024-08-15,11,360.00,32.73,1
222,"Pulse Member 222",Premium,2024-08-22,11,360.00,32.73,1
270,"Pulse Member 270",Premium,2024-08-28,11,360.00,32.73,1
361,"Pulse Member 361",Premium,2024-08-05,11,360.00,32.73,1
362,"Pulse Member 362",Premium,2024-08-12,11,360.00,32.73,1
410,"Pulse Member 410",Premium,2024-08-18,11,360.00,32.73,1
411,"Pulse Member 411",Premium,2024-08-25,11,360.00,32.73,1
502,"Pulse Member 502",Premium,2024-08-02,11,360.00,32.73,1
550,"Pulse Member 550",Premium,2024-08-08,11,360.00,32.73,1
551,"Pulse Member 551",Premium,2024-08-15,11,360.00,32.73,1
552,"Pulse Member 552",Premium,2024-08-22,11,360.00,32.73,1
